"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"32097","doc4268","sponsored recording artist fresno ca nta funkmuzik freshnotesent kashkidentertainment slackaproductions moneymaderecords","artist","NOUN","Profession",1797,NA,"FOX"
"32099","doc4268","sponsored recording artist fresno ca nta funkmuzik freshnotesent kashkidentertainment slackaproductions moneymaderecords","ca","AUX","Organization",1797,NA,"FOX"
"32117","doc4269","ufufefnappy run ambassadorasante stewart foundation ambassadorcerebral palsy wheelie love yfm aspiring entrepreneur motivational speakerufd","entrepreneur","PRON","Profession",4991,NA,"FOX"
"32120","doc427","student interest uk us politics retweets endorsements","student","NOUN","Profession",564,NA,"FOX"
"32124","doc427","student interest uk us politics retweets endorsements","politics","VERB","Hobbies",564,NA,"FOX"
"32145","doc4271","ufd promoting musicals ufb love artist ufabut need helping hands ufb people instagra tosmalioffic appreciate wat im","artist","NOUN","Profession",1515,NA,"FOX"
"32163","doc4275","professional tv videographer editor faa licensed drone pilot importantly husband father three","professional","ADJ","Profession",362,NA,"FOX"
"32166","doc4275","professional tv videographer editor faa licensed drone pilot importantly husband father three","editor","NOUN","Profession",362,NA,"FOX"
"32168","doc4275","professional tv videographer editor faa licensed drone pilot importantly husband father three","licensed","VERB","Profession",362,NA,"FOX"
"32200","doc4278","true patriot uffmagauff q love trump die hard republican catholic love family god","patriot","NOUN","Personality",733,NA,"FOX"
"32208","doc4278","true patriot uffmagauff q love trump die hard republican catholic love family god","catholic","ADJ","Religion",733,NA,"FOX"
"32221","doc428","caring honest man","honest","ADJ","Personality",736,NA,"FOX"
"32226","doc4280","early numeracy literacy specialist question old theories methods offer new thinking new solution impact numeracy literacy httptcojvwpik","specialist","NOUN","Profession",1628,NA,"FOX"
"32264","doc4283","god save harmthe devil can<U+393C><U+3E32>t take can<U+393C><U+3E32>t ever life can haveufeufdto read check detailsufdufufaufef","ca","NOUN","Organization",608,NA,"FOX"
"32267","doc4283","god save harmthe devil can<U+393C><U+3E32>t take can<U+393C><U+3E32>t ever life can haveufeufdto read check detailsufdufufaufef","ca","NOUN","Organization",608,NA,"FOX"
"32273","doc4283","god save harmthe devil can<U+393C><U+3E32>t take can<U+393C><U+3E32>t ever life can haveufeufdto read check detailsufdufufaufef","read","VERB","Hobbies",608,NA,"FOX"
"32285","doc4286","proud muslim","proud","ADJ","Personality",942,NA,"FOX"
"32293","doc4288","graduate rhodes college medical college ga completed path residency mcgworked macon yrsretired athens","college","NOUN","Profession",303,NA,"FOX"
"32294","doc4288","graduate rhodes college medical college ga completed path residency mcgworked macon yrsretired athens","medical","ADJ","Profession",303,NA,"FOX"
"32295","doc4288","graduate rhodes college medical college ga completed path residency mcgworked macon yrsretired athens","college","NOUN","Profession",303,NA,"FOX"
"32308","doc429","entertain educate inform community community","community","NOUN","Profession",338,NA,"FOX"
