"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"4213","doc1563","marketing rep lone star title title company el paso former sports anchorreporter show low az native","marketing","NOUN","Profession",362,NA,"FOX"
"4214","doc1563","marketing rep lone star title title company el paso former sports anchorreporter show low az native","company","NOUN","Profession",362,NA,"FOX"
"4215","doc1563","marketing rep lone star title title company el paso former sports anchorreporter show low az native","sports","NOUN","Hobbies",362,NA,"FOX"
"4216","doc1564","lawyer american citizen eclectic interests politics sports spirituality","lawyer","NOUN","Profession",954,NA,"FOX"
"4217","doc1564","lawyer american citizen eclectic interests politics sports spirituality","politics","NOUN","Hobbies",954,NA,"FOX"
"4218","doc1564","lawyer american citizen eclectic interests politics sports spirituality","sports","NOUN","Hobbies",954,NA,"FOX"
"4219","doc1565","tricolour news network independent uk based news publisher","network","NOUN","Profession",1910,NA,"FOX"
"4220","doc1566","fashion beauty amazing photography music computer programming javascript database python","photography","NOUN","Hobbies",557,NA,"FOX"
"4221","doc1566","fashion beauty amazing photography music computer programming javascript database python","music","NOUN","Hobbies",557,NA,"FOX"
"4222","doc1566","fashion beauty amazing photography music computer programming javascript database python","computer","NOUN","Profession",557,NA,"FOX"
"4223","doc1566","fashion beauty amazing photography music computer programming javascript database python","database","NOUN","Profession",557,NA,"FOX"
"4224","doc1568","m learning live young onset dementia alzheimer<U+393C><U+3E32>s work full time still drive realize future will future breaking stigma","learning","VERB","Profession",377,NA,"FOX"
"4225","doc1569","founder hykinnetwork owner hytrades cofounder coo cfo drabstudios investor tesla","tesla","NOUN","Organization",641,NA,"FOX"
"4226","doc157","can jail revolutionary cant jail revolution truthbombs rt politics activist humanrights palestine xfiles heavyweightnews media","politics","NOUN","Hobbies",508,NA,"FOX"
"4227","doc157","can jail revolutionary cant jail revolution truthbombs rt politics activist humanrights palestine xfiles heavyweightnews media","activist","NOUN","Profession",508,NA,"FOX"
"4228","doc157","can jail revolutionary cant jail revolution truthbombs rt politics activist humanrights palestine xfiles heavyweightnews media","media","NOUN","Profession",508,NA,"FOX"
"4229","doc1571","projects discovery service subscription box ufe delivering activities uufef ufd ufbthat give families tools bondufe ubufef social awareness uf help ufd","service","NOUN","Profession",1143,NA,"FOX"
"4230","doc1571","projects discovery service subscription box ufe delivering activities uufef ufd ufbthat give families tools bondufe ubufef social awareness uf help ufd","social","ADJ","Profession",1143,NA,"FOX"
"4231","doc1575","political junkie nerves string survivor trump times","political","ADJ","Profession",472,NA,"FOX"
"4232","doc1576","mom wife assistant principal pocomokemiddle maespmd assistant poty tomorrows reason learnfromyesterday livefortoday hopefortomorrow","assistant","NOUN","Profession",272,NA,"FOX"
"4233","doc1576","mom wife assistant principal pocomokemiddle maespmd assistant poty tomorrows reason learnfromyesterday livefortoday hopefortomorrow","assistant","NOUN","Profession",272,NA,"FOX"
"4234","doc1577","god family country us trump maga kag nra dovet military leo spursup block rude people ask dms notlookinglove","rude","ADJ","Personality",5060,NA,"FOX"
"4235","doc1578","music major aspiring artist bisexual single loving lifeuf uffufefudufufbufc","music","NOUN","Hobbies",346,NA,"FOX"
"4236","doc1578","music major aspiring artist bisexual single loving lifeuf uffufefudufufbufc","artist","NOUN","Profession",346,NA,"FOX"
"4237","doc1578","music major aspiring artist bisexual single loving lifeuf uffufefudufufbufc","loving","ADJ","Personality",346,NA,"FOX"
"4238","doc158","new account last one taken","account","NOUN","Profession",392,NA,"FOX"
"4239","doc1582","walrus nashville sports fan gooner american outlaw supporter apsu alum wrestling real","sports","NOUN","Hobbies",562,NA,"FOX"
"4240","doc1582","walrus nashville sports fan gooner american outlaw supporter apsu alum wrestling real","wrestling","X","Hobbies",562,NA,"FOX"
"4241","doc1585","canadian learning sounding sustainable environment individual freedoms honest govt tolerance respect better way","learning","NOUN","Profession",1487,NA,"FOX"
"4242","doc1585","canadian learning sounding sustainable environment individual freedoms honest govt tolerance respect better way","honest","ADJ","Personality",1487,NA,"FOX"
"4243","doc1586","advocate social activist","advocate","ADJ","Profession",273,NA,"FOX"
"4244","doc1586","advocate social activist","social","ADJ","Profession",273,NA,"FOX"
"4245","doc1586","advocate social activist","activist","NOUN","Profession",273,NA,"FOX"
"4246","doc1587","licensed va realtor<U+613C><U+3E65>","licensed","VERB","Profession",479,NA,"FOX"
"4247","doc159","clinging christ","christ","NOUN","Religion",400,NA,"FOX"
"4248","doc1590","homesteading animal lover foodie blogger garlic lover love travel searching bargains reviewing products","foodie","NOUN","Personality",25939,NA,"FOX"
"4249","doc1593","providing flooring installation solutions upstate sc high quality products budgetconscious answers homeowners builders developers","quality","NOUN","Profession",340,NA,"FOX"
